""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"PMT_596_1_1"	"0.0029"	"1e-04"	"0.0144"	"0.0011"	"0.0034"	"0.0029"	"0.0045"	"-0.0012"	"0.0031"	"0.2458"
"Gr_g73_5_1"	"0.0018"	"0.0223"	"0.0022"	"0.0019"	"0.0022"	"0.0014"	"0.0025"	"0.0012"	"0.0039"	"0.2432"
"Gr_g76_2_2"	"0.0017"	"0.0215"	"0.0021"	"0.0017"	"0.0022"	"0.0022"	"0.0013"	"0.0011"	"0.0037"	"0.2426"
"Control_g86_7_3"	"0.0015"	"0.0214"	"0.0024"	"0.0013"	"0.002"	"0.002"	"0.0017"	"0.0014"	"0.0038"	"0.242"
"P450_g14_1_3"	"0.0018"	"0"	"0.0017"	"0.0054"	"0.0056"	"0.0011"	"0.0047"	"5e-04"	"0.003"	"0.242"
"Or_g54_1_14"	"0.0024"	"0.022"	"0.0019"	"0.0016"	"0.0018"	"0.0021"	"0.0018"	"0.0012"	"0.0038"	"0.2414"
"PMT_21_1_1"	"0.0096"	"0"	"0.0016"	"0.004"	"3e-04"	"9e-04"	"0.0029"	"0.0037"	"0.0022"	"0.2406"
"Control_g86_3_1"	"0.0019"	"0.0225"	"0.0015"	"0.0014"	"0.0018"	"0.0025"	"0.0016"	"0.0014"	"0.0037"	"0.2405"
"Or_g21_4_1"	"0.0029"	"0"	"0.002"	"-1e-04"	"-3e-04"	"0.0109"	"0.0132"	"0.0014"	"0.0027"	"0.2403"
"OBP_g5_5_1"	"0.0117"	"0"	"0.001"	"0.0044"	"4e-04"	"0.0012"	"0.0032"	"0.0035"	"0.0024"	"0.2403"
"PMT_249_1_1"	"6e-04"	"0"	"0.0013"	"7e-04"	"0.0014"	"0.0091"	"0.0013"	"8e-04"	"0.0019"	"0.2384"
"PMT_18_1_1"	"0.0101"	"1e-04"	"0.0015"	"0.0043"	"5e-04"	"8e-04"	"0.0028"	"0.0034"	"0.0023"	"0.2383"
"Or_g21_1_12"	"0.0013"	"1e-04"	"0.0015"	"7e-04"	"-3e-04"	"0.0085"	"0.0145"	"5e-04"	"0.0025"	"0.237"
"PMT_402_1_1"	"0.0031"	"0"	"0.0013"	"-2e-04"	"0.0032"	"0"	"0.003"	"0.0041"	"0.002"	"0.2359"
"P450_g11_4_4"	"0.0014"	"0.0222"	"0.0021"	"0.0011"	"0.0018"	"0.0015"	"0.0022"	"0.0013"	"0.0036"	"0.2358"
"Gr_g76_1_12"	"0.0016"	"0.0218"	"0.0016"	"0.0014"	"0.0022"	"0.0016"	"0.0019"	"0.0012"	"0.0037"	"0.2356"
"P450_g11_1_4"	"0.0014"	"0.0214"	"0.002"	"0.0015"	"0.0018"	"0.0021"	"0.0015"	"0.0011"	"0.0035"	"0.2355"
"PMT_235_1_1"	"0.0014"	"0.0196"	"0.0025"	"0.0018"	"0.0018"	"0.0019"	"0.0019"	"8e-04"	"0.0034"	"0.2345"
"OBP_g5_4_1"	"0.0085"	"0"	"0.0016"	"0.0041"	"0"	"0.0011"	"0.0025"	"0.0035"	"0.0021"	"0.2334"
"P450_g14_9_2"	"0.0028"	"0"	"0.0028"	"0.0039"	"0.0026"	"0.001"	"0.0058"	"0.0015"	"0.0026"	"0.2304"
"Gr_g42_5_1"	"0.0016"	"0.0188"	"0.0015"	"5e-04"	"0.0021"	"0.002"	"0.0022"	"0.0014"	"0.0033"	"0.2286"
"Or_g21_2_2"	"0.0018"	"2e-04"	"0.0018"	"-2e-04"	"-2e-04"	"0.0088"	"0.0145"	"0.0014"	"0.0026"	"0.2285"
"Gr_g42_3_2"	"0.0016"	"0.0186"	"0.0022"	"9e-04"	"0.0022"	"0.002"	"0.0022"	"0.0015"	"0.0035"	"0.2282"
"PMT_593_1_1"	"0.0026"	"2e-04"	"0.0203"	"-1e-04"	"0.002"	"0.0018"	"0.003"	"-0.001"	"0.0027"	"0.2278"
"Control_g154_1_1"	"6e-04"	"1e-04"	"9e-04"	"0.0011"	"0.0022"	"2e-04"	"0.0021"	"0.0078"	"0.0023"	"0.2268"
"Control_g121_1_2"	"0.0039"	"0.001"	"0.0048"	"0.0041"	"0.0089"	"4e-04"	"0"	"0.002"	"0.0039"	"0.2266"
"Control_g190_4_2"	"-4e-04"	"2e-04"	"-1e-04"	"0.0025"	"1e-04"	"0.0034"	"0.0036"	"0.0071"	"0.0022"	"0.2247"
"PMT_500_1_1"	"0.0012"	"2e-04"	"0.0014"	"9e-04"	"0.0012"	"0.0084"	"0.0011"	"8e-04"	"0.0017"	"0.2243"
"Or_g21_3_2"	"0.0019"	"0"	"0.0023"	"1e-04"	"-4e-04"	"0.0091"	"0.0131"	"4e-04"	"0.0024"	"0.224"
