""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"PMT_262_1_1"	"0"	"0"	"1e-04"	"1e-04"	"4e-04"	"0"	"3e-04"	"-2e-04"	"1e-04"	"0.0349"
"Or_g56_1_5"	"0"	"0"	"0"	"1e-04"	"0"	"0"	"3e-04"	"-1e-04"	"0"	"0.0347"
"Or_g39_2_3"	"0"	"0"	"1e-04"	"0"	"0"	"-1e-04"	"0"	"0"	"0"	"0.0339"
"Control_g105_4_3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2e-04"	"0"	"0.0328"
"PMT_293_1_1"	"0.0013"	"0"	"0"	"-2e-04"	"1e-04"	"0"	"0"	"1e-04"	"1e-04"	"0.0315"
"PMT_261_1_1"	"2e-04"	"1e-04"	"1e-04"	"1e-04"	"3e-04"	"0"	"4e-04"	"-2e-04"	"1e-04"	"0.0279"
"Control_g171_6_2"	"0"	"0"	"2e-04"	"0"	"1e-04"	"0"	"0"	"3e-04"	"1e-04"	"0.027"
"PMT_263_1_1"	"0"	"2e-04"	"1e-04"	"2e-04"	"2e-04"	"0"	"4e-04"	"-1e-04"	"1e-04"	"0.0265"
"PMT_244_1_1"	"1e-04"	"0"	"1e-04"	"0"	"0"	"1e-04"	"0"	"0"	"0"	"0.0263"
"PMT_537_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"4e-04"	"-1e-04"	"0"	"0.0237"
"PMT_535_1_1"	"0"	"0"	"0"	"0"	"-2e-04"	"0"	"1e-04"	"-2e-04"	"-1e-04"	"0.0224"
"PMT_247_1_2"	"0"	"0"	"0"	"0"	"2e-04"	"2e-04"	"0"	"0"	"1e-04"	"0.0223"
"Control_g163_2_4"	"1e-04"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0198"
"P450_g65_2_4"	"0"	"0"	"0"	"2e-04"	"2e-04"	"0"	"3e-04"	"1e-04"	"1e-04"	"0.0195"
"PMT_248_1_1"	"0"	"1e-04"	"0"	"1e-04"	"0"	"0"	"0"	"0"	"0"	"0.0194"
"Control_g162_10_12"	"0"	"0"	"0"	"-1e-04"	"0"	"0"	"1e-04"	"0"	"0"	"0.0189"
"PMT_540_1_1"	"0"	"0"	"0"	"0"	"-1e-04"	"0"	"1e-04"	"0"	"0"	"0.0186"
"PMT_541_1_1"	"0"	"0"	"1e-04"	"0"	"-1e-04"	"0"	"1e-04"	"0"	"0"	"0.0185"
"PMT_655_1_1"	"1e-04"	"0"	"0"	"0"	"2e-04"	"0"	"0"	"0"	"0"	"0.0179"
